Year,India Air Deposition of Nitrogen,China Air Deposition of Nitrogen,Thailand Air Deposition of Nitrogen,Vietnam Air Deposition of Nitrogen
1990,14.0841,11.9664,6.8414,5.7227
1991,14.7304,14.2141,6.6988,6.3248
1992,15.0129,14.8489,6.9686,6.3505
1993,15.2793,14.9227,7.2271,6.6525
1994,15.831,15.4838,7.4001,7.3443
1995,16.3082,17.6927,7.6855,7.4115
1996,16.8527,19.025,7.9887,7.9859
1997,17.6312,21.4721,7.7375,8.3045
1998,17.3193,22.0087,8.7682,10.0853
1999,16.3779,22.2367,8.2513,8.863
2000,15.7551,22.5498,8.2272,8.9795
2001,15.7673,22.5755,7.9752,8.3462
2002,16.3732,22.8078,7.9139,8.7355
2003,16.4799,24.02,7.9106,9.0757
2004,16.717,23.9248,8.9125,10.4496
2005,17.5832,24.5504,9.4916,10.0456
2006,17.3709,25.2545,8.1991,9.7238
2007,17.9516,25.9004,8.9677,10.7512
2008,18.0998,26.1824,8.3495,9.8529
2009,18.6065,26.941,8.7588,10.0782
2010,18.826,26.9763,9.0397,11.0138
2011,18.8818,27.2511,8.6757,10.489
2012,19.2191,28.0821,9.0002,10.9834
2013,20.1408,27.1381,9.2912,11.2365
2014,19.4088,25.9265,8.9204,11.0072
2015,19.5192,25.6218,8.7811,11.6948
2016,19.4521,24.8909,8.9008,11.7082
2017,19.7055,24.0898,9.0383,11.8377
2018,20.0731,23.8721,9.1549,12.5829
2019,20.1703,24.1834,9.0492,13.0523
