Year,India Rice Yield,China Rice Yield,Thailand Rice Yield,Vietnam Rice Yield
1990,2.6125,5.7261,1.9555999,3.1815
1991,2.6271,5.6401997,2.2533998,3.1132998
1992,2.6092,5.8030996,2.1745,3.3342
1993,2.8302999,5.8479,2.0497,3.4815
1994,2.8645,5.8311,2.3521,3.5656998
1995,2.6971998,6.0248,2.4157999,3.6898
1996,2.8226,6.2121997,2.4098,3.7689
1997,2.8457,6.3192,2.3788,3.8767998
1998,2.8804998,6.3662,2.418,4.0007
1999,2.9782,6.3447,2.4243999,4.1018
2000,2.8508,6.2716,2.6128,4.2432
2001,3.1158,6.1633,2.8739,4.2853
2002,2.6162999,6.1889997,2.9338,4.5903
2003,3.1176999,6.0607,2.9338999,4.6387
2004,2.9756,6.3106,2.8895,4.8553
2005,3.1536999,6.2602,2.9973998,4.8891
2006,3.1759,6.2795997,2.9503,4.8943
2007,3.2924,6.4329996,3.0440998,4.9869
2008,3.2509,6.5625,2.9973998,5.2335997
2009,3.2366,6.5853,2.9078999,5.2372
2010,3.3586998,6.553,2.9921,5.3416
2011,3.5878,6.6872997,3.1866999,5.5383
2012,3.6908998,6.7769,3.1864998,5.6352997
2013,3.6243,6.7173,3.1462998,5.5726
2014,3.5867999,6.8132,3.0586,5.7538
2015,3.6002,6.8912997,2.8506,5.7597
2016,3.7401,6.8657,2.974,5.5738
2017,3.8639,6.9168997,3.069,5.5476
2018,3.9568,7.0266,3.0379999,5.818
2019,4.0836997,7.0600996,2.9164,5.8371
