Year,India Crop Land,China Crop Land,Thailand Crop Land,Vietnam Crop Land
1990,170109.0,132197.0,20603.0,6384.0
1991,170182.0,133266.0,20726.0,6425.0
1992,170006.0,131583.0,20574.0,6697.0
1993,170286.0,130882.0,20445.0,6759.0
1994,170325.0,130879.0,20538.0,6812.0
1995,169911.0,130880.0,20631.0,6751.0
1996,169525.0,130918.0,20724.0,7004.0
1997,170101.0,130910.25,20817.0,7202.0
1998,170029.0,130904.5,20909.0,7413.0
1999,170125.0,130900.75,21002.0,7771.0
2000,170130.0,130897.0,21095.0,8138.0
2001,169825.0,131488.8444,21188.0,8841.0
2002,170032.0,132080.6889,21281.0,8813.0
2003,169799.0,132671.5333,21374.0,8895.0
2004,169891.0,133257.37780000002,21467.0,9153.6
2005,169674.0,133848.22220000002,21560.0,9412.1
2006,169462.0,134438.0667,21653.0,9436.0
2007,169202.0,135027.9111,21745.0,9420.6
2008,169395.0,135617.7556,21838.0,9598.8
2009,169724.0,136204.6,21931.0,9650.0
2010,169234.0,135449.8,22024.0,10118.099999999999
2011,169369.0,134692.5,22028.0,10126.6
2012,169346.0,133934.8,22032.0,10151.3
2013,169442.0,133179.5,22036.2654,10210.8
2014,169463.0,132426.8,22042.0,10231.7
2015,169413.0,131671.5,22046.0,11505.8
2016,169317.0,130916.5,22042.0,11530.2
2017,168895.136,130163.3,22047.0,11526.8
2018,168777.911,129408.6,22045.6965,11498.5
2019,168669.0764,128656.2,22200.0,11746.0
