Year,India Pesticide,China Pesticide,Thailand Pesticide,Vietnam Pesticide
1990,0.44,1.17,0.91,3.28
1991,0.42,1.16,0.91,3.25
1992,0.42,1.22,0.92,3.12
1993,0.39,1.3,0.92,3.09
1994,0.36,1.49,1.0,3.07
1995,0.36,1.64,1.17,3.69
1996,0.33,1.72,1.14,4.68
1997,0.31,1.8,1.15,4.58
1998,0.29,1.84,0.92,2.81
1999,0.27,1.99,1.08,2.15
2000,0.26,1.91,0.96,2.03
2001,0.26,1.89,1.45,2.17
2002,0.25,1.95,1.92,2.67
2003,0.24,1.96,2.4,3.13
2004,0.21,2.04,3.06,3.52
2005,0.21,2.13,2.03,3.89
2006,0.22,2.23,1.9,4.4
2007,0.16,2.34,3.07,4.93
2008,0.09,2.39,3.0,5.36
2009,0.17,2.43,3.1,5.75
2010,0.24,2.51,3.13,5.64
2011,0.24,2.57,3.96,6.75
2012,0.24,2.62,3.17,7.57
2013,0.24,2.63,0.37,8.17
2014,0.24,2.64,0.99,9.96
2015,0.24,2.63,1.19,8.9
2016,0.24,2.58,1.39,8.94
2017,0.24,2.48,1.54,7.15
2018,0.24,2.28,1.58,12.12
2019,0.24,2.12,1.26,11.47
