Year,india rural/total,india urban/total,china rural/total,china urban/total,thailand rural/total,thailand urban/total,vietnam rural/total,vietnam urban/total
1990,0.7442531342316783,0.2553807514511725,0.7364005982631324,0.2791888882598694,0.723071694441321,0.30145211495315544,0.8128838429908574,0.20649952797389637
1991,0.7414745955526922,0.25752772265993096,0.7273592516364027,0.28785976012336384,0.7186091267777561,0.3020421885150704,0.8089446833634635,0.21024935772735687
1992,0.738889561395998,0.2593993462675573,0.7193334414326344,0.29706150391327085,0.7134544816542329,0.3023318455428281,0.8051245854865398,0.2141005913173939
1993,0.7362646646135154,0.26125951438053635,0.7108142671040015,0.306296273814368,0.7078038798131033,0.3023873442993244,0.8014119847722009,0.2180329703361669
1994,0.7336338039745804,0.2631314218190509,0.7017265334675692,0.31556824651045884,0.7024300627145431,0.3025461520992745,0.7976225790931935,0.22201843677185143
1995,0.7310372586110386,0.26502577553972967,0.6922826802245949,0.3249319423829235,0.6980206120558956,0.3031061222653142,0.7935346020308542,0.22598660694251868
1996,0.7285595147003001,0.2669778748890941,0.6825516631172984,0.3344235956050245,0.694821482737999,0.3041882678900248,0.7891036276996076,0.22992690727651297
1997,0.7261302987424676,0.2689512749142819,0.6725308782760608,0.34396388787612747,0.6923558711499765,0.30558471194561493,0.784480935049517,0.23385666181641543
1998,0.7237103544064872,0.27094369967754056,0.6622416043350009,0.3535973128033706,0.6903932008207211,0.3072109212928995,0.7794454220923793,0.23772688522716345
1999,0.721314302786187,0.27295687482972486,0.6518552487893126,0.36337061724408815,0.6888089520734795,0.3090130494299482,0.7741897008914566,0.24203662721458205
2000,0.7188339215436882,0.27495377777607904,0.641229964269447,0.37320727529372294,0.6849600889396247,0.3133182074195434,0.7685581557795709,0.24770009020882253
2001,0.7158108184283045,0.27724455317496344,0.6285971512151509,0.38504775744946257,0.6733892965600005,0.3249363879517659,0.7630591992057107,0.2535053062176863
2002,0.71200280815386,0.28025265390662446,0.6150208809034158,0.39818132321581684,0.6611189086455262,0.3365545576026375,0.757033082436083,0.2592634253473995
2003,0.7082798171508191,0.28331929869540523,0.6014004790257184,0.41154820260079367,0.6483645974349274,0.3482081961369102,0.7506133997415798,0.264996592547544
2004,0.7046358145618624,0.2864500591408471,0.5876102338252913,0.4250752897139502,0.6352956246409688,0.35997417348206584,0.7440008274934353,0.27077784905332536
2005,0.7012057181907428,0.2896831729562839,0.5736631817384135,0.43864093017920197,0.6221223323249474,0.37186305478950904,0.7373916666401057,0.27664151354377103
2006,0.6980605591635762,0.29307190293476604,0.5599866743485303,0.45182215741270065,0.6086920706986367,0.38383862067769636,0.73093322597014,0.2826795494557591
2007,0.6950387098109373,0.296546867290401,0.5463759436234256,0.4647658680834026,0.5948335302953665,0.3957220636513334,0.7244734800575007,0.2888263172851119
2008,0.6919985757003183,0.30005609948404854,0.5326202161300466,0.4777073897768064,0.5807523942516898,0.40762575120968186,0.7179179875669124,0.29505626238584026
2009,0.6888172164927964,0.3035252806674799,0.5187829248913189,0.490551554538993,0.5666767197060345,0.4195828763334299,0.7111712331924767,0.3013455037822901
2010,0.6853351626109021,0.30690018863407287,0.5049076473984655,0.5033996836521177,0.5527087113730795,0.4317401915782382,0.704279868078864,0.3078639107850622
2011,0.6815675579690513,0.3101746597398103,0.49173315405453627,0.5156845122753095,0.5435033210529513,0.439284235148694,0.6976832943333209,0.3146261325962092
2012,0.6775379892688841,0.3135004747772224,0.47867903727669275,0.527416893365422,0.535190345021069,0.4458232390946036,0.6912746066055055,0.3216093566180641
2013,0.6733529109175256,0.31691155825629896,0.4656534536950647,0.5389912860119559,0.5269730915260413,0.4523950337490253,0.6849124912722141,0.32871348422718333
2014,0.6692369151318193,0.3205223116797782,0.45275103460561067,0.5505942698369882,0.5188625316271108,0.45906556748384597,0.6784444792457112,0.33590751030432187
2015,0.6652103728335007,0.32434826747692125,0.43999317390626436,0.5621947272037207,0.5108788400304508,0.4658362742623712,0.6718218764835304,0.34314881525063756
2016,0.6609559508895447,0.3282382868823059,0.42729643364331205,0.5736978234209223,0.5027922925019499,0.47251437558553827,0.6650444901688541,0.35044565013262763
2017,0.656638297649864,0.3322735315475235,0.4145627446186765,0.5848063399418665,0.4946677914342595,0.4790876925200444,0.6582611466555887,0.3577731309953922
2018,0.6524981247926949,0.3365804611139485,0.4025041623197783,0.5960279409262846,0.486829257004174,0.48583081479166196,0.6514525783409101,0.36516046628575477
2019,0.6484718414534817,0.3411352644928514,0.3912144685349257,0.6075141007055597,0.4792362929685509,0.49269378987530427,0.6446486534368123,0.37260339976576357
