Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1961","1961","kg/ha","4.6038","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1962","1962","kg/ha","4.7036","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1963","1963","kg/ha","4.8064","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1964","1964","kg/ha","4.9114","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1965","1965","kg/ha","5.0184","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1966","1966","kg/ha","5.1283","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1967","1967","kg/ha","5.2401","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1968","1968","kg/ha","5.3547","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1969","1969","kg/ha","5.471","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1970","1970","kg/ha","5.5912","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1971","1971","kg/ha","5.496","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1972","1972","kg/ha","5.7491","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1973","1973","kg/ha","5.9014","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1974","1974","kg/ha","5.8227","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1975","1975","kg/ha","6.4402","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1976","1976","kg/ha","6.7503","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1977","1977","kg/ha","7.4864","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1978","1978","kg/ha","8.1612","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1979","1979","kg/ha","8.6061","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1980","1980","kg/ha","8.7731","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1981","1981","kg/ha","9.0839","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1982","1982","kg/ha","9.477","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1983","1983","kg/ha","10.0624","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1984","1984","kg/ha","10.7507","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1985","1985","kg/ha","10.5307","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1986","1986","kg/ha","10.8892","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1987","1987","kg/ha","12.0681","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1988","1988","kg/ha","12.9162","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1989","1989","kg/ha","13.3763","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1990","1990","kg/ha","11.9664","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1991","1991","kg/ha","14.2141","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1992","1992","kg/ha","14.8489","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1993","1993","kg/ha","14.9227","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1994","1994","kg/ha","15.4838","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1995","1995","kg/ha","17.6927","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1996","1996","kg/ha","19.025","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1997","1997","kg/ha","21.4721","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1998","1998","kg/ha","22.0087","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","1999","1999","kg/ha","22.2367","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2000","2000","kg/ha","22.5498","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2001","2001","kg/ha","22.5755","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2002","2002","kg/ha","22.8078","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2003","2003","kg/ha","24.02","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2004","2004","kg/ha","23.9248","E","Estimated value",""
"ESB","Cropland Nutrient Balance","159","China","7276","Cropland nitrogen per unit area","5076","Atmospheric Deposition","2005","2005","kg/ha","24.5504","E","Estimated value",""
