Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","159","China","5110","Area","6621","Arable land","1961","1961","1000 ha","103397","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","1962","1962","1000 ha","103100","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","1963","1963","1000 ha","102903","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","1964","1964","1000 ha","102705","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","1965","1965","1000 ha","102458","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","1966","1966","1000 ha","102001","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","1967","1967","1000 ha","101514","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","1968","1968","1000 ha","101027","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","1969","1969","1000 ha","100562","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","1970","1970","1000 ha","100067","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","1971","1971","1000 ha","99634","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","1972","1972","1000 ha","99170","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","1973","1973","1000 ha","98697","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","1974","1974","1000 ha","99258","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","1975","1975","1000 ha","97786","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","1976","1976","1000 ha","97602.3333","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","1977","1977","1000 ha","97417.6667","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","1978","1978","1000 ha","97221","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","1979","1979","1000 ha","97082.5","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","1980","1980","1000 ha","96950","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","1981","1981","1000 ha","97549","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","1982","1982","1000 ha","102450","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","1983","1983","1000 ha","108051","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","1984","1984","1000 ha","114744","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","1985","1985","1000 ha","120835","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","1986","1986","1000 ha","121220","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","1987","1987","1000 ha","120913","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","1988","1988","1000 ha","121592","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","1989","1989","1000 ha","122886","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","1990","1990","1000 ha","124481","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","1991","1991","1000 ha","125545","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","1992","1992","1000 ha","123562","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","1993","1993","1000 ha","121956","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","1994","1994","1000 ha","121353","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","1995","1995","1000 ha","120234","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","1996","1996","1000 ha","119992","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","1997","1997","1000 ha","119684.25","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","1998","1998","1000 ha","119673.5","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","1999","1999","1000 ha","119669.75","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","2000","2000","1000 ha","119666","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","2001","2001","1000 ha","120257.8444","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","2002","2002","1000 ha","120649.6889","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","2003","2003","1000 ha","120835.5333","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","2004","2004","1000 ha","121021.3778","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","2005","2005","1000 ha","121267.2222","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","2006","2006","1000 ha","121607.0667","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","2007","2007","1000 ha","121546.9111","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","2008","2008","1000 ha","121791.7556","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","2009","2009","1000 ha","121983.6","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","2010","2010","1000 ha","120733.8","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","2011","2011","1000 ha","119281.5","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","2012","2012","1000 ha","117928.8","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","2013","2013","1000 ha","116978.5","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","2014","2014","1000 ha","116205.8","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","2015","2015","1000 ha","115470.5","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","2016","2016","1000 ha","114048.8333","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","2017","2017","1000 ha","112229.689","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6621","Arable land","2018","2018","1000 ha","111084.532","E","Estimated value",""
