Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RT","Pesticides Trade","156","China, mainland","5610","Import quantity","1357","Pesticides (total)","1990","1990","t","28507.616","B","Time series break"
"RT","Pesticides Trade","156","China, mainland","5610","Import quantity","1357","Pesticides (total)","1991","1991","t","32098.731","I","Imputed value"
"RT","Pesticides Trade","156","China, mainland","5610","Import quantity","1357","Pesticides (total)","1992","1992","t","39304.309","I","Imputed value"
"RT","Pesticides Trade","156","China, mainland","5610","Import quantity","1357","Pesticides (total)","1993","1993","t","24060.658","I","Imputed value"
"RT","Pesticides Trade","156","China, mainland","5610","Import quantity","1357","Pesticides (total)","1994","1994","t","32019.8","I","Imputed value"
"RT","Pesticides Trade","156","China, mainland","5610","Import quantity","1357","Pesticides (total)","1995","1995","t","34712.544","I","Imputed value"
"RT","Pesticides Trade","156","China, mainland","5610","Import quantity","1357","Pesticides (total)","1996","1996","t","32110.448","I","Imputed value"
"RT","Pesticides Trade","156","China, mainland","5610","Import quantity","1357","Pesticides (total)","1997","1997","t","48583.812","I","Imputed value"
"RT","Pesticides Trade","156","China, mainland","5610","Import quantity","1357","Pesticides (total)","1998","1998","t","44172.992","I","Imputed value"
"RT","Pesticides Trade","156","China, mainland","5610","Import quantity","1357","Pesticides (total)","1999","1999","t","47713.646","I","Imputed value"
"RT","Pesticides Trade","156","China, mainland","5610","Import quantity","1357","Pesticides (total)","2000","2000","t","41138.418","I","Imputed value"
"RT","Pesticides Trade","156","China, mainland","5610","Import quantity","1357","Pesticides (total)","2001","2001","t","34359.628","I","Imputed value"
"RT","Pesticides Trade","156","China, mainland","5610","Import quantity","1357","Pesticides (total)","2002","2002","t","27432.01","I","Imputed value"
"RT","Pesticides Trade","156","China, mainland","5610","Import quantity","1357","Pesticides (total)","2003","2003","t","28408.154","I","Imputed value"
"RT","Pesticides Trade","156","China, mainland","5610","Import quantity","1357","Pesticides (total)","2004","2004","t","27623.248","I","Imputed value"
"RT","Pesticides Trade","156","China, mainland","5610","Import quantity","1357","Pesticides (total)","2005","2005","t","36763.357","I","Imputed value"
"RT","Pesticides Trade","156","China, mainland","5610","Import quantity","1357","Pesticides (total)","2006","2006","t","43165.8","I","Imputed value"
"RT","Pesticides Trade","156","China, mainland","5610","Import quantity","1357","Pesticides (total)","2007","2007","t","41267.105","I","Imputed value"
"RT","Pesticides Trade","156","China, mainland","5610","Import quantity","1357","Pesticides (total)","2008","2008","t","44387.995","I","Imputed value"
"RT","Pesticides Trade","156","China, mainland","5610","Import quantity","1357","Pesticides (total)","2009","2009","t","44207.625","I","Imputed value"
"RT","Pesticides Trade","156","China, mainland","5610","Import quantity","1357","Pesticides (total)","2010","2010","t","50702.826","I","Imputed value"
