Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RP","Pesticides Use","159","China","5159","Use per area of cropland","1357","Pesticides (total)","1990","1990","kg/ha","1.17","E","Estimated value","Estimated Value"
"RP","Pesticides Use","159","China","5159","Use per area of cropland","1357","Pesticides (total)","1991","1991","kg/ha","1.16","E","Estimated value","Estimated Value"
"RP","Pesticides Use","159","China","5159","Use per area of cropland","1357","Pesticides (total)","1992","1992","kg/ha","1.22","E","Estimated value","Estimated Value"
"RP","Pesticides Use","159","China","5159","Use per area of cropland","1357","Pesticides (total)","1993","1993","kg/ha","1.3","E","Estimated value","Estimated Value"
"RP","Pesticides Use","159","China","5159","Use per area of cropland","1357","Pesticides (total)","1994","1994","kg/ha","1.49","E","Estimated value","Estimated Value"
"RP","Pesticides Use","159","China","5159","Use per area of cropland","1357","Pesticides (total)","1995","1995","kg/ha","1.64","E","Estimated value","Estimated Value"
"RP","Pesticides Use","159","China","5159","Use per area of cropland","1357","Pesticides (total)","1996","1996","kg/ha","1.72","E","Estimated value","Estimated Value"
"RP","Pesticides Use","159","China","5159","Use per area of cropland","1357","Pesticides (total)","1997","1997","kg/ha","1.8","E","Estimated value","Estimated Value"
"RP","Pesticides Use","159","China","5159","Use per area of cropland","1357","Pesticides (total)","1998","1998","kg/ha","1.84","E","Estimated value","Estimated Value"
"RP","Pesticides Use","159","China","5159","Use per area of cropland","1357","Pesticides (total)","1999","1999","kg/ha","1.99","E","Estimated value","Estimated Value"
"RP","Pesticides Use","159","China","5159","Use per area of cropland","1357","Pesticides (total)","2000","2000","kg/ha","1.91","E","Estimated value","Estimated Value"
"RP","Pesticides Use","159","China","5159","Use per area of cropland","1357","Pesticides (total)","2001","2001","kg/ha","1.89","E","Estimated value","Estimated Value"
"RP","Pesticides Use","159","China","5159","Use per area of cropland","1357","Pesticides (total)","2002","2002","kg/ha","1.95","E","Estimated value","Estimated Value"
"RP","Pesticides Use","159","China","5159","Use per area of cropland","1357","Pesticides (total)","2003","2003","kg/ha","1.96","E","Estimated value","Estimated Value"
"RP","Pesticides Use","159","China","5159","Use per area of cropland","1357","Pesticides (total)","2004","2004","kg/ha","2.04","E","Estimated value","Estimated Value"
"RP","Pesticides Use","159","China","5159","Use per area of cropland","1357","Pesticides (total)","2005","2005","kg/ha","2.13","E","Estimated value","Estimated Value"
"RP","Pesticides Use","159","China","5159","Use per area of cropland","1357","Pesticides (total)","2006","2006","kg/ha","2.23","E","Estimated value","Estimated Value"
"RP","Pesticides Use","159","China","5159","Use per area of cropland","1357","Pesticides (total)","2007","2007","kg/ha","2.34","E","Estimated value","Estimated Value"
