Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GN","Emissions from Energy use in agriculture","159","China","72184","Energy use in agriculture","6801","Petroleum products","1990","1990","TJ","512193.7106","E","Estimated value"
"GN","Emissions from Energy use in agriculture","159","China","72184","Energy use in agriculture","6801","Petroleum products","1991","1991","TJ","516188.2783","E","Estimated value"
"GN","Emissions from Energy use in agriculture","159","China","72184","Energy use in agriculture","6801","Petroleum products","1992","1992","TJ","522633.7849","E","Estimated value"
"GN","Emissions from Energy use in agriculture","159","China","72184","Energy use in agriculture","6801","Petroleum products","1993","1993","TJ","551386.61","E","Estimated value"
"GN","Emissions from Energy use in agriculture","159","China","72184","Energy use in agriculture","6801","Petroleum products","1994","1994","TJ","544139.8459","E","Estimated value"
"GN","Emissions from Energy use in agriculture","159","China","72184","Energy use in agriculture","6801","Petroleum products","1995","1995","TJ","588606.0118","E","Estimated value"
"GN","Emissions from Energy use in agriculture","159","China","72184","Energy use in agriculture","6801","Petroleum products","1996","1996","TJ","595105.3059","E","Estimated value"
"GN","Emissions from Energy use in agriculture","159","China","72184","Energy use in agriculture","6801","Petroleum products","1997","1997","TJ","621587.5058","E","Estimated value"
"GN","Emissions from Energy use in agriculture","159","China","72184","Energy use in agriculture","6801","Petroleum products","1998","1998","TJ","635809.1368","E","Estimated value"
"GN","Emissions from Energy use in agriculture","159","China","72184","Energy use in agriculture","6801","Petroleum products","1999","1999","TJ","691039.7729","E","Estimated value"
"GN","Emissions from Energy use in agriculture","159","China","72184","Energy use in agriculture","6801","Petroleum products","2000","2000","TJ","723933.4839","E","Estimated value"
"GN","Emissions from Energy use in agriculture","159","China","72184","Energy use in agriculture","6801","Petroleum products","2001","2001","TJ","754616.6498","E","Estimated value"
"GN","Emissions from Energy use in agriculture","159","China","72184","Energy use in agriculture","6801","Petroleum products","2002","2002","TJ","458411.2284","E","Estimated value"
"GN","Emissions from Energy use in agriculture","159","China","72184","Energy use in agriculture","6801","Petroleum products","2003","2003","TJ","521485.6027","E","Estimated value"
"GN","Emissions from Energy use in agriculture","159","China","72184","Energy use in agriculture","6801","Petroleum products","2004","2004","TJ","596548.4371","E","Estimated value"
"GN","Emissions from Energy use in agriculture","159","China","72184","Energy use in agriculture","6801","Petroleum products","2005","2005","TJ","685045.2805","E","Estimated value"
"GN","Emissions from Energy use in agriculture","159","China","72184","Energy use in agriculture","6801","Petroleum products","2006","2006","TJ","707681.9548","E","Estimated value"
"GN","Emissions from Energy use in agriculture","159","China","72184","Energy use in agriculture","6801","Petroleum products","2007","2007","TJ","640331.2489","E","Estimated value"
"GN","Emissions from Energy use in agriculture","159","China","72184","Energy use in agriculture","6801","Petroleum products","2008","2008","TJ","587303.3909","E","Estimated value"
"GN","Emissions from Energy use in agriculture","159","China","72184","Energy use in agriculture","6801","Petroleum products","2009","2009","TJ","597858.1369","E","Estimated value"
"GN","Emissions from Energy use in agriculture","159","China","72184","Energy use in agriculture","6801","Petroleum products","2010","2010","TJ","630294.1721","E","Estimated value"
"GN","Emissions from Energy use in agriculture","159","China","72184","Energy use in agriculture","6801","Petroleum products","2011","2011","TJ","668382.2489","E","Estimated value"
